"appid","name","playtime_forever","rtime_last_played"
397730,"Rescue Love Revenge",0,0
397820,"Let's Sing 2016",0,0
399090,"It's time to get out from the solar system",276,1524204065
399100,"Spheroid",0,0
400240,"The Deer",244,1524194206
400250,"Heaven Island - VR MMO",357,1524219265
401190,"Dinosaur Hunt",279,1526899394
417430,"Moto Racer  4",302,1524219559
418270,"Draw Slasher",0,0
418360,"Gurgamoth",266,1524213729
424830,"Bell Ringer",270,1524219559
427780,"PERFECT ANGLE: The puzzle game based on optical illusions",295,1524292857
429470,"Space Pilgrim Episode I: Alpha Centauri",244,1524292857
434210,"It's Spring Again",287,1524332514
434610,"Forbidden Planet",299,1524929626
439190,"Stories: The Path of Destinies",272,1527304035
441870,"OutDrive",299,1524929626
442070,"Drawful 2",0,0
443080,"Elite Dangerous: Arena",0,0
443910,"TGV Voyages Train Simulator",0,0
446840,"Splasher",0,0
447850,"The Next Door",239,1524968406
447940,"Brine",0,0
457590,"Luna Online: Reborn",247,1526899394
458480,"Mythic Wonders: The Philosopher's Stone",246,1526903165
463150,"BARRIER X",202,1527311454
467370,"Escape This",202,1527311454
469730,"Super Mega Neo Pug",168,1527311454
473520,"Autumn",167,1527311454
475550,"Beholder",0,0
489220,"Unforgiving Trials: The Darkest Crusade",0,0
489520,"Minion Masters",296,1505031653
489630,"Warhammer 40,000: Gladius - Relics of War",0,0
489830,"The Elder Scrolls V: Skyrim Special Edition",258,1507299090
490220,"Prismata",0,0
490860,"DashBored",0,0
491580,"Mahjong Destiny",0,0
502880,"The Janitor",0,0
503820,"A Detective's Novel",0,0
508530,"HackyZack",0,0
509840,"El Ninja (Beta)",0,0
513740,"Joana's Life",0,0
514660,"BitMaster",0,0
522040,"Princess Remedy In A Heap of Trouble",0,0
523730,"Sweet Volley High",0,0
530700,"Argo",45,1517840312
537800,"Bomber Crew",0,0
555000,"GOAT OF DUTY",0,0
556180,"Mysterium",0,0
567730,"Merry Snowballs",0,0
582660,"Black Desert",393,1725119007
582890,"Estranged: The Departure",0,0
584890,"Stayin' Alive",0,0
585550,"FEMINAZI: The Triggering",0,0
586380,"VITATIO 2",0,0
592270,"Neko Navy",0,0
599140,"Graveyard Keeper",0,0
608800,"Guns of Icarus Alliance",0,0
610780,"Crazy Buggy Racing",0,0
611500,"Quake Champions",137,1526357795
616560,"Ultimate Epic Battle Simulator",0,0
635320,"Last Day of June",0,0
650490,"Dinosaur Hunt First Blood",0,0
656210,"ROMBY",0,0
658160,"ClickRaid",0,0
670080,"SuperLuminauts",0,0
684680,"Polygoneer",0,0
696370,"BROKE PROTOCOL",0,0
711930,"Square Head Zombies",0,0
713100,"StockUp",0,0
727480,"Reach Me",0,0
729040,"Borderlands GOTY Enhanced",0,0
729660,"Blackout Z: Slaughterhouse Edition",0,0
735580,"11-11 Memories Retold",0,0
737800,"F1 2018",0,0
745710,"SMACKHEAD",0,0
751390,"GoPlay Editor",0,0
756260,"Kingdom Defense",0,0
758560,"Versus World",0,0
780800,"Ball laB",0,0
781100,"Winner Winner Chicken Dinner!",0,0
785950,"Sacrifice Dungeon",0,0
788510,"Aeve:Zero Gravity",0,0
797410,"Headsnatchers",0,0
816240,"Build Wars",0,0
836620,"Black Desert (Retired)",333,1617285975
857240,"The Prison Experiment",0,0
952060,"Resident Evil 3",0,0
952070,"RESIDENT EVIL RESISTANCE",0,0
994310,"Let's Sing 2019",0,0
1005240,"Pixel Puzzles Illustrations & Anime Jigsaw Puzzles",0,0
1022310,"Warhammer Underworlds - Shadespire Edition",0,0
1048540,"Kao the Kangaroo: Round 2",0,0
1053710,"The Red Lantern",0,0
1058200,"Pixel Puzzles Traditional Jigsaw Puzzles",0,0
1134700,"Wild Terra 2: New Lands",0,0
1433340,"Happy's Humble Burger Farm",0,0
1437820,"Heroes of the Three Kingdoms",0,0
1507190,"Machinika Museum",0,0
2943730,"FragPunk Playtest",0,0
